brand,house_name,base_price,storey,frontage,depth,gf_sqm,total_sqm,lot_total_sqm,squares,details
Hermitage Homes,Access 18 HPS,395000,Single,10.5,28,128.54,167.48,294,18,"3 Bed, 3 Bath, Single Car Garage, 1 Living, ODL"
Hermitage Homes,Access 18 IL,362000,Single,10.5,28,128.54,167.48,294,18,"3 Bed, 3 Bath, Single Car Garage, 1 Living, ODL"
Hermitage Homes,Access 19 HPS,403000,Single,12.5,28,124.49,178.71,350,19,"3 Bed, 3 Bath, Double Car Garage, 1 Living, ODL"
Hermitage Homes,Access 19 IL,368000,Single,12.5,28,124.49,178.71,350,19,"3 Bed, 3 Bath, Double Car Garage, 1 Living, ODL"
Hermitage Homes,Access 20 HPS (Access 18 with Double Garage),387900,Single,12.5,29,137.43,180.42,362.5,20,"3 Bed, 3 Bath, Double Car Garage, 1 Living, ODL"
Hermitage Homes,Access 20 IL (Access 18 with Double Garage),354900,Single,12.5,29,137.43,180.42,362.5,20,"3 Bed, 3 Bath, Double Car Garage, 1 Living, ODL"
Hermitage Homes,Access 22 HPS,422000,Single,12.5,28,155.35,203.45,350,22,"3 Bed, 3 Bath, Single Car Garage, 1 Living, Study, ODL"
Hermitage Homes,Access 22 IL,385000,Single,12.5,28,155.35,203.45,350,22,"3 Bed, 3 Bath, Single Car Garage, 1 Living, Study, ODL"
Hermitage Homes,Access 23 HPS,475000,Single,12.5,30,175.55,222.05,375,23,"4 Bed, 4 Bath, Single Car Garage, 2 Living, ODL"
Hermitage Homes,Access 23 IL,447000,Single,12.5,30,175.55,222.05,375,23,"4 Bed, 4 Bath, Single Car Garage, 2 Living, ODL"
Hermitage Homes,Access 30 HPS,526000,Single,16,31,220.67,285.11,496,30,"4 Bed, 4 Bath, Double Car Garage, 2 Living, Study, ODL"
Hermitage Homes,Access 30 IL,500000,Single,16,31,220.67,285.11,496,30,"4 Bed, 4 Bath, Double Car Garage, 2 Living, Study, ODL"
Hermitage Homes,Baker 14,272900,Single,14,16,101,127.34,224,14,"3 Bed, 2 Bath, Single Car Garage, 2 Living"
Hermitage Homes,Banks 12,259500,Single,8.5,21,83.52,111.1,178.5,12,"2 Bed, 1 Bath, Single Car Garage, 1 Living"
Hermitage Homes,Cabot 13,275400,Single,8.5,22,118.71,118.71,187,13,"3 Bed, 2 Bath, Single Car Garage, 1 Living Area"
Hermitage Homes,Cabot 15  (Cabot 13 with double Garage),281500,Single,10.5,22,131.65,131.65,231,15,"3 Bed, 2 Bath, Double Car Garage, 1 Living Area"
Hermitage Homes,Cambridge 28,439400,Double,12.5,22,135.16,256.49,275,28,"5 Bed, 3 Bath, Double Car Garage, 2 Living Areas, Study"
Hermitage Homes,Cambridge 31,469800,Double,12.5,25,165.95,286.5,312.5,31,"5 Bed, 3 Bath, Double Car Garage, 3 Living Areas, Outdoor Living, Study"
Hermitage Homes,Cartier 15 GE,292000,Single,8.5,25,140.76,140.76,212.5,15,"3 Bed, 3 Bath, Single Car Garage, 1 Living Area"
Hermitage Homes,Catalina 22 GE,418600,Double,14,16,110.72,205.89,224,22,"4 Bed, 3 Bath, Double Car Garage, 2 Living Areas"
Hermitage Homes,Chelsea 16,294600,Single,12.5,21,149.21,149.21,262.5,16,"4 Bed, 2 Bath, Single Car Garage, 1 Living Area"
Hermitage Homes,Chelsea 18 (Chelsea 16 with double Garage),300700,Single,14.5,21,161.85,161.85,304.5,18,"4 Bed, 2 Bath, Double Car Garage, 1 Living Area"
