suburb_name,postcode,surcharge_amount,region_name
Armstrong Creek 3217,3217,1500,
Armstrong Creek 3217,3217,1500,
Bakery Hill 3350,3350,8000,Ballarat
Bakery Hill 3354,3354,8000,Ballarat
Ballarat 3350,3350,8000,Ballarat
Ballarat 3350,3350,8000,Ballarat
Ballarat 3353,3353,8000,Ballarat
Ballarat Central 3350,3350,8000,Ballarat
Ballarat East 3350,3350,8000,Ballarat
Ballarat Mc 3354,3354,8000,Ballarat
Ballarat North 3350,3350,8000,Ballarat
Ballarat Roadside Delivery 3352,3352,8000,Ballarat
Ballarat West 3350,3350,8000,Ballarat
Barkstead 3352,3352,8000,Ballarat
Berringa 3351,3351,8000,Ballarat
Black Hill 3350,3350,8000,Ballarat
Blowhard 3352,3352,8000,Ballarat
Bo Peep 3351,3351,8000,Ballarat
Bolwarrah 3352,3352,8000,Ballarat
Bonshaw 3352,3352,8000,Ballarat
Bonshaw 3356,3356,8000,Ballarat
Brewster 3352,3352,8000,Ballarat
Broadford 3658,3658,7000,North
Brown Hill 3350,3350,8000,Ballarat
Bullarook 3352,3352,8000,Ballarat
Bungaree 3352,3352,8000,Ballarat
Buninyong 3357,3357,8000,Ballarat
Bunkers Hill 3352,3352,8000,Ballarat
Burrumbeet 3352,3352,8000,Ballarat
Cambrian Hill 3352,3352,8000,Ballarat
Canadian 3350,3350,8000,Ballarat
Cape Clear 3351,3351,8000,Ballarat
Cardigan 3352,3352,8000,Ballarat
Cardigan Village 3352,3352,8000,Ballarat
Carngham 3351,3351,8000,Ballarat
Chapel Flat 3352,3352,8000,Ballarat
Charlemont 3217,3217,1500,
Chepstowe 3351,3351,8000,Ballarat
Churchill 3842,3842,7000,
Clarendon 3352,3352,8000,Ballarat
Claretown 3352,3352,8000,Ballarat
Clarkes Hill 3352,3352,8000,Ballarat
Colac 3250,3250,18000,Geelong
Corindhap 3352,3352,8000,Ballarat
Curlewis 3222,3222,1500,
ColaccCaC,,8000,Ballarat
Delacombe 3356,3356,8000,Ballarat
Delacombe 3356,3356,8000,Ballarat
Dereel 3352,3352,8000,Ballarat
Drouin 3818,3818,7000,
Dunnstown 3352,3352,8000,Ballarat
Durham Lead 3352,3352,8000,Ballarat
Enfield 3352,3352,8000,Ballarat
Ercildoune 3352,3352,8000,Ballarat
Eureka 3350,3350,8000,Ballarat
Garibaldi 3352,3352,8000,Ballarat
Glen Park 3352,3352,8000,Ballarat
Glenbrae 3352,3352,8000,Ballarat
Golden Point 3350,3350,8000,Ballarat
Gong Gong 3352,3352,8000,Ballarat
Grenville 3352,3352,8000,Ballarat
Haddon 3351,3351,8000,Ballarat
Happy Valley 3351,3351,8000,Ballarat
Hillcrest 3351,3351,8000,Ballarat
Illabarook 3351,3351,8000,Ballarat
Invermay 3352,3352,8000,Ballarat
Invermay Park 3350,3350,8000,Ballarat
Kilmore 3764,3764,4000,North
Lake Bolac 3351,3351,8000,Ballarat
Lake Gardens 3355,3355,8000,Ballarat
Lake Wendouree 3350,3350,8000,Ballarat
Lal Lal 3352,3352,8000,Ballarat
Lamplough 3352,3352,8000,Ballarat
Lang Lang 3984,3984,7000,
Lang Lang 3984,3984,7000,
Langi Kal Kal 3352,3352,8000,Ballarat
Learmonth 3352,3352,8000,Ballarat
Leigh Creek 3352,3352,8000,Ballarat
Leopold 3224,3224,1500,
Lexton 3352,3352,8000,Ballarat
Longwarry 3816,3816,7000,
Lucas 3350,3350,8000,Ballarat
Magpie 3352,3352,8000,Ballarat
Millbrook 3352,3352,8000,Ballarat
Miners Rest 3352,3352,8000,Ballarat
Mininera 3351,3351,8000,Ballarat
Mitchell Park 3352,3352,8000,Ballarat
Mitchell Park 3355,3355,8000,Ballarat
Moe 3825,3825,7000,
Mollongghip 3352,3352,8000,Ballarat
Mortchup 3351,3351,8000,Ballarat
Morwell 3840,3840,12000,
Mount Bolton 3352,3352,8000,Ballarat
Mount Clear 3350,3350,8000,Ballarat
Mount Duneed 3217,3217,1500,
Mount Egerton 3352,3352,8000,Ballarat
Mount Emu 3351,3351,8000,Ballarat
Mount Helen 3350,3350,8000,Ballarat
Mount Mercer 3352,3352,8000,Ballarat
Mount Mitchell 3352,3352,8000,Ballarat
Mount Pleasant 3350,3350,8000,Ballarat
Mount Rowan 3352,3352,8000,Ballarat
Mt Clear 3350,3350,8000,Ballarat
Napoleons 3352,3352,8000,Ballarat
Navigators 3352,3352,8000,Ballarat
Nerrin Nerrin 3351,3351,8000,Ballarat
Nerrina 3350,3350,8000,Ballarat
Newborough 3825,3825,7000,
Newington 3350,3350,8000,Ballarat
Newtown 3351,3351,8000,Ballarat
Nintingbool 3351,3351,8000,Ballarat
Ocean Grove 3226,3226,1500,
Piggoreet 3351,3351,8000,Ballarat
Pitfield 3351,3351,8000,Ballarat
Point Lonsdale 3225,3225,1500,
Pootilla 3352,3352,8000,Ballarat
Portarlington 3223,3223,1500,
Redan 3350,3350,8000,Ballarat
Rokewood Junction 3351,3351,8000,Ballarat
Ross Creek 3351,3351,8000,Ballarat
Scarsdale 3351,3351,8000,Ballarat
Scotchmans Lead 3352,3352,8000,Ballarat
Scotsburn 3352,3352,8000,Ballarat
Scotsmans Lead 3357,3357,8000,Ballarat
Sebastopol 3356,3356,8000,Ballarat
Sebastopol 3356,3356,8000,Ballarat
Smythes Creek 3351,3351,8000,Ballarat
Smythes Creek 3351,3351,8000,Ballarat
Smythesdale 3351,3351,8000,Ballarat
Snake Valley 3351,3351,8000,Ballarat
Soldiers Hill 3350,3350,8000,Ballarat
Sovereign Hill 3350,3350,8000,Ballarat
Springbank 3352,3352,8000,Ballarat
Springdallah 3351,3351,8000,Ballarat
St Leonards 3223,3223,1500,
Staffordshire Reef 3351,3351,8000,Ballarat
Streatham 3351,3351,8000,Ballarat
Sulky 3352,3352,8000,Ballarat
Torquay 3228,3228,1500,
Traralgon 3844,3844,7000,
Wallan,,1000,
Wallace 3352,3352,8000,Ballarat
Wallinduc 3351,3351,8000,Ballarat
Warragul 3820,3820,7000,
Warrenheip 3352,3352,8000,Ballarat
Wattle Flat 3352,3352,8000,Ballarat
Waubra 3352,3352,8000,Ballarat
Weatherboard 3352,3352,8000,Ballarat
Wendouree 3355,3355,8000,Ballarat
Werneth 3352,3352,8000,Ballarat
Westmere 3351,3351,8000,Ballarat
Windermere 3352,3352,8000,Ballarat
Winter Valley 3358,3358,8000,Ballarat
Yarrowee 3357,3357,8000,Ballarat
Yendon 3352,3352,8000,Ballarat
