group_name,gst_registered,active
10 in 10,False,True
A2Z Financial,False,True
AAS International Properties,False,True
ABG Australia,False,True
ANB Properties HK,False,True
AOU Consulting,False,True
APIC,False,True
ARPI,False,True
ASG,False,True
AWPS,False,True
Abizz Group,False,True
Absolut Property Group,False,True
Access Wealth,False,True
Accrue,False,True
Acquisitions Collective,False,True
Alliance Property Solutions,False,True
Apollo Investment,False,True
Area Specialist,False,True
Aspire,False,True
Atlas,False,True
Atmos Propertis,False,True
Augment Group,False,True
AusPac,False,True
Aussland,False,True
Australia Equi Group,False,True
Australian Property Group,False,True
Austrump,False,True
Ausun Enterprises,False,True
Axon Property Group,False,True
BC Property,False,True
BC Property Agents,False,True
BIPA,False,True
BPMG,False,True
Better Homes & Gardens,False,True
Bigbrother,False,True
Billion Finance Group,False,True
Blue Wealth,False,True
Bold Vision,False,True
Brickstone,False,True
Brix and Mortar (Landmark Property),False,True
Builders Choice,False,True
Buy Melbourne Apartments,False,True
CDG Real Estate,False,True
CLN Home loans,False,True
CR Property Solutions,False,True
Caesia Investments,False,True
Calise Consultancy,False,True
Calla Property,False,True
Capital Edge,False,True
Capital Jerry Parker,False,True
Care Builders,False,True
Care Building Group,False,True
Carter Sier,False,True
Carters Investments,False,True
Completed Homes,False,True
Crest Property Investment,False,True
DE Silva Accounting,False,True
DMB Reality,False,True
DMJ Consulting,False,True
DY Home Loans,False,True
Development Agency,False,True
Dwellings Property Group,False,True
Easegroup,False,True
Eassy Consult8,False,True
Elever,False,True
Elever Property Group,False,True
Emerson Property Group,False,True
Empowered Liveability,False,True
Equidel,False,True
Equity Rise,False,True
Equity Strategy,False,True
Equity Strategy NDIS,False,True
Finance Family Connection,False,True
Findselectbuy,False,True
First Homes Specialists,False,True
First Select Finance,False,True
Flourish Realestate,False,True
Focus Property Group,False,True
Fortune 8,False,True
Fortune Realtors,False,True
Foundation Property,False,True
Francis Goh,False,True
Freedom,False,True
Freedom Property Investors,False,True
GBE,False,True
GIM Capital,False,True
GL INVESTMENT,False,True
GPG,False,True
GPS,False,True
GUZE Real Estate,False,True
GW Investments,False,True
Gabriel Investments,False,True
Gallagher,False,True
Global Realty,False,True
Gold Coin,False,True
Goldfish,False,True
Grit,False,True
HH Stocklist,False,True
Helping Hands Property,False,True
High Income,False,True
Home N Loan,False,True
Home and Loan Property Experts,False,True
House & Land Co.,False,True
I Sale,False,True
IFIG,False,True
IPAN,False,True
IPPA,False,True
IT Manifest,False,True
Ifield Road,False,True
Impressive Property,False,True
Infiniti-8,False,True
Inreach Investments,False,True
Inspired Property Inversting,False,True
Interio,False,True
Investate International,False,True
Investlink,False,True
Investment Property Providers,False,True
Investo Property,False,True
Invst Now,False,True
JR Group Aus,False,True
JR Prosperity,False,True
Jenso Corp,False,True
Jinding,False,True
Joy Property,False,True
KM Financial,False,True
Kallea Property Group,False,True
Key Property Solutions,False,True
Kodeliving,False,True
LB Commercial,False,True
Landco,False,True
Landmark,False,True
Landmark Property Finance,False,True
Le's Buy Property,False,True
Low Deposit Homes,False,True
Lycasis Group,False,True
MPA,False,True
MX Property Australia,False,True
Malv Pty Ltd,False,True
Maple Group,False,True
Mashal homes,False,True
Mayfair Advocacy,False,True
Mayfair Investment Group,False,True
McMullan Bird,False,True
Mcewen Real Estate,False,True
Meridian,False,True
Milestone Real Estate,False,True
Ming Ming,False,True
Moment Pty Ltd,False,True
Motivate Property Group Pty Ltd,False,True
N-Spire Homes,False,True
NEW HOMES DIRECT PTY LTD CAN,False,True
NIA,False,True
NWA Group,False,True
Nash Housing,False,True
Neue Property,False,True
Nexcon,False,True
Number 8 Property Group,False,True
Octa Group PTY LTD,False,True
One Central,False,True
One Haven,False,True
Origin Advisory,False,True
Orion Star,False,True
Oxford Hill,False,True
Park Street Capital,False,True
Positive Income,False,True
Positive Real Estate,False,True
Procure Wealth,False,True
Profession Property Investors,False,True
Propell Property,False,True
ProperT Network,False,True
Property Avenue,False,True
Property Club,False,True
Property In A Box,False,True
Property Investment & Growth,False,True
Property Locator,False,True
